restaurant,item_name,item_description,calories,fat,carbs,protein,location
Buffalo Wild Wings,Whole Cheesecake with Caramel Sauce,"Whole Cheesecake with Caramel Sauce, Sweets, Party Menu",11110,738,923,193,"Gainesville, Florida"
Buffalo Wild Wings,150 Count Traditional Wings,"150 Count Traditional Wings, Choice of 2 8fl oz Sauces Per 50 Wings, Wings & Accompaniments, Party Menu",10800,612,900,1325,"Gainesville, Florida"
Buffalo Wild Wings,150 Count Boneless Wings,"150 Count Boneless Wings, Choice of 2 8fl oz Sauces Per 50 Wings, Wings & Accompaniments, Party Menu",9100,465,509,719,"Gainesville, Florida"
Buffalo Wild Wings,Whole Chocolate Fudge Cake,"Whole Chocolate Fudge Cake, Sweets, Party Menu",7420,336,1064,98,"Gainesville, Florida"
Buffalo Wild Wings,100 Count Traditional Wings,"100 Count Traditional Wings, Choice of 2 8fl oz Sauces Per 50 Wings, Wings & Accompaniments, Party Menu",7200,408,953,883,"Gainesville, Florida"
Buffalo Wild Wings,100 Count Boneless Wings,"100 Count Boneless Wings, Choice of 2 8fl oz Sauces Per 50 Wings, Wings & Accompaniments, Party Menu",6070,310,340,479,"Gainesville, Florida"
Buffalo Wild Wings,Party Sampler,"Party Sampler, Bar Food, Party Menu",4250,297,332,67,"Gainesville, Florida"
Buffalo Wild Wings,Cauliflower Wings,"Cauliflower Wings, Choice of 2 8fl oz Sauces Per 50 Wings, Wings & Accompaniments, Party Menu",4180,229,465,64,"Gainesville, Florida"
Buffalo Wild Wings,Hand-Breaded Chicken Tenders (25 ea),"Hand-Breaded Chicken Tenders (25 ea), Tenders & More",4100,200,282,292,"Gainesville, Florida"
Buffalo Wild Wings,Classic Chicken Wraps with Pulled Chicken,"Classic Chicken Wraps with Pulled Chicken, Tenders & More",4050,149,341,206,"Gainesville, Florida"
Casey's General Store,Peanut Butter Crispy Bites (Bulk),"Peanut Butter Crispy Bites (Bulk), To Go Cups & Bulk Bakery",1960,84,270.7,37,"Gainesville, Florida"
Casey's General Store,Mini Chocolate Chip Cookies (Bulk),"Mini Chocolate Chip Cookies (Bulk), To Go Cups & Bulk Bakery'",1950,105,240,15,"Gainesville, Florida"
Casey's General Store,Casey's Chow (Bulk),"Casey's Chow (Bulk), To Go Cups & Bulk Bakery",1720,52.9,304.3,27,"Gainesville, Florida"
Casey's General Store,MFS Cheesy Breadsticks,"MFS Cheesy Breadsticks, Warmer Items- Lunch/Dinner",1000,45,112.3,40,"Gainesville, Florida"
